,Column Name,Correlation
1503,artist | eazy,0.013051110344869893
1005,artist | charlie_puth,0.013049459611024905
2601,artist | keyshia_cole,0.013015137441960584
4406,artist | sleep_miracle,0.013003794903877191
3816,artist | prezioso,0.013003794903877108
4401,artist | slater,0.012957491553395102
5026,artist | twice,0.012953157537583094
5310,artist | yohani,0.012937673972129079
868,artist | britney_spears,0.012917243130768672
909,artist | børns,0.012907697562402865
4251,artist | sevek,0.012907697562402846
5397,artist | öwnboss,0.012907697562402846
4411,artist | sleepy_hallow,0.012828591805369554
2410,artist | jonas_brothers,0.012783748660649139
1188,artist | cynthia_erivo,0.012774965428424951
1571,artist | emmit_fenn,0.012769686861392425
1474,artist | duncan_laurence,0.01254321060158124
5499,track_genre|reggae,0.012511198272974823
4510,artist | stefflon_don,0.012496256087059595
3510,artist | nmixx,0.01249589161821172
1321,artist | dermot_kennedy,0.012489974751925148
1546,artist | elley_duhé,0.01245733572909371
4929,artist | timbaland,0.012450772154769524
1945,artist | gym_class_heroes,0.012450772154769458
2111,artist | ice_cube,0.01242648223219495
5073,artist | vacations,0.012399409950806057
5081,artist | vance_joy,0.012394007420866571
3449,artist | never_dull,0.012344740439064172
1540,artist | ella_eyre,0.012344740439064172
2584,artist | kenny_dope,0.012344740439064172
177,artist | _the_wailers,0.012340148879817313
795,artist | bob_marley_,0.012340148879817313
759,artist | blackpink,0.012317042117518984
949,artist | cardi_b,0.01225239461942234
760,artist | blackstreet,0.01218869299175661
3848,artist | queen_pen,0.01218869299175661
1910,artist | green_day,0.012151425335380928
4594,artist | surf_curse,0.012097572108427367
2562,artist | kavita_seth,0.012069186549889572
610,artist | backstreet_boys,0.012039981144263075
3643,artist | paloma_faith,0.012002794525784085
1118,artist | cole_swindell,0.01199384674713608
4991,artist | tracy_chapman,0.011971161848536081
3502,artist | nio_garcia,0.011959022580509635
2518,artist | kali_uchis,0.0119458615327589
199,artist | a7s,0.01185214826954746
2652,artist | kodaline,0.011846708621961171
1896,artist | goodboys,0.0118389213978525
652,artist | beabadoobee,0.011817154574641784
4349,artist | siedah_garrett,0.011791704291233208
2944,artist | lum,0.011781429975884935
4958,artist | tom_petty,0.01172262943563652
4504,artist | stealers_wheel,0.011692837831264484
3994,artist | rixton,0.011659277136444464
3051,artist | mariah_angeliq,0.011659277136444398
3790,artist | post_malone,0.01165235811854412
3690,artist | paulo_londra,0.011648844953757355
3424,artist | neeti_mohan,0.011647856064676852
1057,artist | chris_stapleton,0.011581225939697095
1369,artist | dire_straits,0.011581225939697083
4554,artist | sublime,0.011574287411800848
4646,artist | tammi_terrell,0.011536921339502773
3455,artist | new_west,0.011536921339502721
4758,artist | the_cranberries,0.011536921339502713
943,artist | capital_cities,0.011489219389462065
2465,artist | juice_wrld,0.01148862723374743
3427,artist | neiked,0.011399283719147332
2483,artist | jung_kook,0.011386640414931913
1034,artist | chimbala,0.011378477473404178
1561,artist | emeli_sandé,0.011322695107642397
2557,artist | kausar_munir,0.011321186464241776
